"Year","Squad","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90"
2019,"Arsenal",26.7,58.1,38,418,3420,38,69,52,121,65,4,5,73,2,868,1874,1.82,1.37,3.18,1.71,3.08,60.1,56,46.7,102.7,1.58,1.23,2.81,1.47,2.7
2019,"Bournemouth",26.6,46.9,38,418,3420,38,55,43,98,48,7,9,60,1,738,1435,1.45,1.13,2.58,1.26,2.39,53.3,46.2,38.8,85,1.4,1.02,2.42,1.22,2.24
2019,"Brighton",27.4,42.4,38,418,3420,38,35,24,59,30,5,6,61,4,475,1150,0.92,0.63,1.55,0.79,1.42,35.3,30.7,24.5,55.2,0.93,0.64,1.57,0.81,1.45
2019,"Burnley",28,41.2,38,418,3420,38,43,32,75,41,2,2,75,1,421,1032,1.13,0.84,1.97,1.08,1.92,44.4,42.8,31.2,74,1.17,0.82,1.99,1.13,1.95
2019,"Cardiff City",27.7,35.4,38,418,3420,38,33,20,53,30,3,4,66,1,434,918,0.87,0.53,1.39,0.79,1.32,42.4,39.2,27.6,66.8,1.11,0.73,1.84,1.03,1.76
2019,"Chelsea",27.3,62.9,38,418,3420,38,61,52,113,56,5,5,49,0,1058,2155,1.61,1.37,2.97,1.47,2.84,58.6,54.6,44.9,99.6,1.54,1.18,2.72,1.44,2.62
2019,"Crystal Palace",27.4,45.2,38,418,3420,38,48,33,81,38,10,11,58,2,771,1458,1.26,0.87,2.13,1,1.87,47.6,39.2,29.5,68.7,1.25,0.78,2.03,1.03,1.81
2019,"Everton",25.7,51.5,38,418,3420,38,53,34,87,51,2,5,56,4,697,1581,1.39,0.89,2.29,1.34,2.24,49.7,45.7,33.7,79.4,1.31,0.89,2.19,1.2,2.09
2019,"Fulham",26,48.8,38,418,3420,38,33,24,57,31,2,3,70,2,628,1487,0.87,0.63,1.5,0.82,1.45,41.3,39,30,69,1.09,0.79,1.88,1.03,1.82
2019,"Huddersfield",26.2,47.2,38,418,3420,38,21,13,34,20,1,1,56,4,601,1248,0.55,0.34,0.89,0.53,0.87,28.8,28,19.9,47.9,0.76,0.52,1.28,0.74,1.26
2019,"Leicester City",25.9,50.9,38,418,3420,38,48,34,82,43,5,7,60,5,752,1537,1.26,0.89,2.16,1.13,2.03,52.4,47.3,37.6,84.9,1.38,0.99,2.37,1.24,2.23
2019,"Liverpool",26.1,61.8,38,418,3420,38,86,55,141,79,7,7,39,2,857,2008,2.26,1.45,3.71,2.08,3.53,73.7,68.4,49.8,118.2,1.94,1.31,3.25,1.8,3.11
2019,"Manchester City",26.7,67.9,38,418,3420,38,91,71,162,88,3,4,44,1,1325,2429,2.39,1.87,4.26,2.32,4.18,84.3,81.3,65.5,146.7,2.22,1.72,3.94,2.14,3.86
2019,"Manchester Utd",26.3,54.7,38,418,3420,38,65,40,105,56,9,12,75,4,801,1668,1.71,1.05,2.76,1.47,2.53,61.4,52,39.6,91.6,1.62,1.04,2.66,1.37,2.41
2019,"Newcastle Utd",26.9,40.4,38,418,3420,38,41,33,74,40,1,3,57,2,467,985,1.08,0.87,1.95,1.05,1.92,39.1,36.7,27.4,64.1,1.03,0.72,1.75,0.97,1.69
2019,"Southampton",25.4,43.4,38,418,3420,38,44,27,71,40,4,5,73,3,603,1333,1.16,0.71,1.87,1.05,1.76,46.9,43.4,29.3,72.7,1.23,0.77,2,1.14,1.91
2019,"Tottenham",26.8,59,38,418,3420,38,66,47,113,62,4,4,57,3,840,1744,1.74,1.24,2.97,1.63,2.87,54.9,51.8,39.1,90.9,1.44,1.03,2.47,1.36,2.39
2019,"Watford",28.5,46.7,38,418,3420,38,51,39,90,50,1,1,79,4,588,1294,1.34,1.03,2.37,1.32,2.34,48.2,47.5,34.8,82.3,1.27,0.92,2.19,1.25,2.17
2019,"West Ham",27.6,48.6,38,418,3420,38,51,33,84,46,5,5,59,1,731,1478,1.34,0.87,2.21,1.21,2.08,47.6,43.8,34.1,77.9,1.25,0.9,2.15,1.15,2.05
2019,"Wolves",26.1,46.8,38,418,3420,38,46,35,81,42,4,4,73,1,743,1350,1.21,0.92,2.13,1.11,2.03,52.1,49,39.4,88.4,1.37,1.04,2.41,1.29,2.33
2020,"Arsenal",25.8,53.8,38,418,3420,38,56,35,91,53,3,3,88,5,815,1641,1.47,0.92,2.39,1.39,2.32,47,44.6,31.4,76.1,1.24,0.83,2.06,1.17,2
2020,"Aston Villa",25.7,44.1,38,418,3420,38,40,32,72,39,1,3,70,1,639,1247,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76,1.16,0.9,2.06,1.1,2
2020,"Bournemouth",25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,601,1256,1,0.63,1.63,0.89,1.53,44.8,41.7,30.6,72.3,1.18,0.8,1.98,1.1,1.9
2020,"Brighton",26.4,52.2,38,418,3420,38,35,24,59,34,1,2,59,2,669,1675,0.92,0.63,1.55,0.89,1.53,45.4,43.8,31.6,75.4,1.2,0.83,2.03,1.15,1.99
2020,"Burnley",28,41.9,38,418,3420,38,41,30,71,38,3,3,67,0,437,890,1.08,0.79,1.87,1,1.79,47.4,45.3,32.4,77.7,1.25,0.85,2.1,1.19,2.04
2020,"Chelsea",25.5,60.4,38,418,3420,38,69,46,115,62,7,7,60,0,983,1897,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,1.82,1.23,3.05,1.7,2.92
2020,"Crystal Palace",29.4,44.8,38,418,3420,38,29,20,49,26,3,3,62,2,596,1223,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26,59.5,0.94,0.68,1.63,0.88,1.57
2020,"Everton",25.5,49,38,418,3420,38,42,32,74,41,1,1,76,3,623,1430,1.11,0.84,1.95,1.08,1.92,50.8,50,38.1,88.1,1.34,1,2.34,1.32,2.32
2020,"Leicester City",26.1,57.1,38,418,3420,38,65,48,113,60,5,7,43,3,739,1612,1.71,1.26,2.97,1.58,2.84,62.2,56.7,44.9,101.6,1.64,1.18,2.82,1.49,2.67
2020,"Liverpool",26.6,62.9,38,418,3420,38,83,69,152,78,5,5,38,1,967,1941,2.18,1.82,4,2.05,3.87,68.9,65,53,118,1.81,1.39,3.21,1.71,3.1
2020,"Manchester City",26.9,66.2,38,418,3420,38,100,69,169,94,6,11,64,4,1199,2460,2.63,1.82,4.45,2.47,4.29,92,83.6,68.4,152,2.42,1.8,4.22,2.2,4
2020,"Manchester Utd",24.8,55.8,38,418,3420,38,65,43,108,55,10,14,73,0,926,1788,1.71,1.13,2.84,1.45,2.58,62.2,51.2,38.5,89.7,1.64,1.01,2.65,1.35,2.36
2020,"Newcastle Utd",26.5,39,38,418,3420,38,38,29,67,38,0,1,66,3,537,844,1,0.76,1.76,1,1.76,35.5,34.8,26.9,61.7,0.94,0.71,1.64,0.91,1.62
2020,"Norwich City",26,49.3,38,418,3420,38,25,18,43,23,2,2,68,3,673,1169,0.66,0.47,1.13,0.61,1.08,37,35.4,27.4,62.8,0.97,0.72,1.69,0.93,1.65
2020,"Sheffield Utd",26.9,43.1,38,418,3420,38,36,25,61,35,1,1,63,2,493,1352,0.95,0.66,1.61,0.92,1.58,43,42.2,34,76.3,1.13,0.9,2.03,1.11,2.01
2020,"Southampton",25.9,48.9,38,418,3420,38,51,32,83,49,2,5,55,4,628,1335,1.34,0.84,2.18,1.29,2.13,56.1,52.1,36.4,88.5,1.48,0.96,2.43,1.37,2.33
2020,"Tottenham",26.7,52,38,418,3420,38,56,39,95,53,3,4,84,3,768,1410,1.47,1.03,2.5,1.39,2.42,47.9,44.7,32.6,77.3,1.26,0.86,2.12,1.18,2.03
2020,"Watford",28.9,42.9,38,418,3420,38,35,21,56,28,7,8,80,3,578,1168,0.92,0.55,1.47,0.74,1.29,48.9,42.6,31.4,74,1.29,0.83,2.11,1.12,1.95
2020,"West Ham",27.4,44.1,38,418,3420,38,49,36,85,45,4,4,64,1,666,1377,1.29,0.95,2.24,1.18,2.13,48.6,45.4,36.7,82.2,1.28,0.97,2.24,1.2,2.16
2020,"Wolves",26.6,48.3,38,418,3420,38,49,34,83,45,4,4,61,2,858,1338,1.29,0.89,2.18,1.18,2.08,54.1,51,37.5,88.5,1.42,0.99,2.41,1.34,2.33
2021,"Arsenal",25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,758,1760,1.39,1,2.39,1.24,2.24,51.8,47,35.1,82.1,1.36,0.92,2.29,1.24,2.16
2021,"Aston Villa",25.2,48.5,38,418,3420,38,52,38,90,47,5,6,71,4,629,1420,1.37,1,2.37,1.24,2.24,52.5,47.9,37.4,85.3,1.38,0.98,2.37,1.26,2.25
2021,"Brighton",25.8,51.1,38,418,3420,38,39,24,63,33,6,9,49,6,685,1516,1.03,0.63,1.66,0.87,1.5,50.9,43.8,33.2,77,1.34,0.87,2.21,1.15,2.03
2021,"Burnley",28.3,42.1,38,418,3420,38,32,20,52,29,3,3,48,0,389,1012,0.84,0.53,1.37,0.76,1.29,39.3,36.9,27.7,64.6,1.03,0.73,1.76,0.97,1.7
2021,"Chelsea",26,60.9,38,418,3420,38,56,38,94,48,8,10,51,3,895,1798,1.47,1,2.47,1.26,2.26,62.4,54.5,41.5,96.1,1.64,1.09,2.74,1.44,2.53
2021,"Crystal Palace",29.1,40.6,38,418,3420,38,39,29,68,36,3,4,56,2,526,1132,1.03,0.76,1.79,0.95,1.71,34.1,31,23.6,54.6,0.9,0.62,1.52,0.82,1.44
2021,"Everton",26.3,46.4,38,418,3420,38,45,32,77,41,4,5,59,2,604,1184,1.18,0.84,2.03,1.08,1.92,45.7,41.9,30.7,72.6,1.2,0.81,2.01,1.1,1.91
2021,"Fulham",25.2,49.7,38,418,3420,38,26,18,44,23,3,6,67,3,727,1354,0.68,0.47,1.16,0.61,1.08,40.5,35.9,26.3,62.2,1.07,0.69,1.76,0.95,1.64
2021,"Leeds United",26.1,57.3,38,418,3420,38,60,45,105,56,4,4,61,1,811,1633,1.58,1.18,2.76,1.47,2.66,55.6,52.5,41.9,94.3,1.46,1.1,2.57,1.38,2.48
2021,"Leicester City",26.5,54.3,38,418,3420,38,64,45,109,54,10,12,61,0,666,1464,1.68,1.18,2.87,1.42,2.61,55.8,46.3,33.7,80.1,1.47,0.89,2.36,1.22,2.11
2021,"Liverpool",26.8,62.1,38,418,3420,38,65,43,108,59,6,6,40,0,886,2057,1.71,1.13,2.84,1.55,2.68,67.5,62.9,48.3,111.2,1.78,1.27,3.05,1.66,2.93
2021,"Manchester City",26.1,63.5,38,418,3420,38,82,55,137,77,5,9,46,2,1096,2051,2.16,1.45,3.61,2.03,3.47,68.2,61.2,45.4,106.6,1.8,1.19,2.99,1.61,2.81
2021,"Manchester Utd",25.6,55.7,38,418,3420,38,70,51,121,60,10,11,64,1,877,1832,1.84,1.34,3.18,1.58,2.92,60.1,51.4,41.6,93.1,1.58,1.1,2.68,1.35,2.45
2021,"Newcastle Utd",27.1,38.8,38,418,3420,38,44,26,70,38,6,7,65,3,467,903,1.16,0.68,1.84,1,1.68,43.4,37.8,29,66.8,1.14,0.76,1.91,1,1.76
2021,"Sheffield Utd",26.7,41.7,38,418,3420,38,19,13,32,16,3,4,73,3,491,1196,0.5,0.34,0.84,0.42,0.76,32.6,29.5,24.9,54.4,0.86,0.66,1.52,0.78,1.43
2021,"Southampton",26.6,52,38,418,3420,38,47,33,80,42,5,6,52,3,626,1195,1.24,0.87,2.11,1.11,1.97,41.2,36.6,25.8,62.5,1.09,0.68,1.77,0.96,1.64
2021,"Tottenham",27.2,51.6,38,418,3420,38,66,50,116,61,5,5,57,2,633,1330,1.74,1.32,3.05,1.61,2.92,53.1,49.2,35.3,84.4,1.4,0.93,2.33,1.29,2.22
2021,"West Brom",26.4,37.9,38,418,3420,38,33,20,53,29,4,4,51,4,441,1027,0.87,0.53,1.39,0.76,1.29,35.8,32.7,24.4,57.1,0.94,0.64,1.59,0.86,1.5
2021,"West Ham",27.8,43.2,38,418,3420,38,60,46,106,58,2,4,50,3,658,1282,1.58,1.21,2.79,1.53,2.74,55.4,52.1,39.6,91.7,1.46,1.04,2.5,1.37,2.41
2021,"Wolves",26.3,49.3,38,418,3420,38,34,21,55,30,4,4,55,1,800,1283,0.89,0.55,1.45,0.79,1.34,36.5,33.4,24.1,57.6,0.96,0.63,1.6,0.88,1.51
2022,"Arsenal",24.4,52.8,38,418,3420,38,60,41,101,55,5,8,67,4,734,1655,1.58,1.08,2.66,1.45,2.53,60.5,55.1,40.2,95.4,1.59,1.06,2.65,1.45,2.51
2022,"Aston Villa",26.1,46.5,38,418,3420,38,50,42,92,47,3,3,81,2,653,1300,1.32,1.11,2.42,1.24,2.34,44,42,34.8,76.8,1.16,0.92,2.08,1.1,2.02
2022,"Brentford",25.4,44.8,38,418,3420,38,46,33,79,40,6,6,65,3,450,1189,1.21,0.87,2.08,1.05,1.92,45.8,41.1,33,74.1,1.21,0.87,2.07,1.08,1.95
2022,"Brighton",26.2,54.4,38,418,3420,38,40,30,70,36,4,7,72,2,676,1547,1.05,0.79,1.84,0.95,1.74,46.2,40.7,32.3,72.9,1.21,0.85,2.06,1.07,1.92
2022,"Burnley",28.5,40.2,38,418,3420,38,32,26,58,31,1,2,68,2,388,972,0.84,0.68,1.53,0.82,1.5,39.7,38.1,31.2,69.3,1.05,0.82,1.87,1,1.82
2022,"Chelsea",27.4,61.8,38,418,3420,38,75,52,127,67,8,9,63,1,894,1967,1.97,1.37,3.34,1.76,3.13,63.4,56.6,44.9,101.5,1.67,1.18,2.85,1.49,2.67
2022,"Crystal Palace",27.1,51.1,38,418,3420,38,50,31,81,44,6,8,69,1,592,1229,1.32,0.82,2.13,1.16,1.97,46.4,40.1,31,71.1,1.22,0.82,2.04,1.06,1.87
2022,"Everton",26.7,40,38,418,3420,38,42,29,71,36,6,7,82,6,512,1100,1.11,0.76,1.87,0.95,1.71,41.2,35.8,28.5,64.3,1.09,0.75,1.83,0.94,1.69
2022,"Leeds United",26.1,52.3,38,418,3420,38,42,26,68,37,5,5,101,3,671,1483,1.11,0.68,1.79,0.97,1.66,44.4,40.4,31.3,71.8,1.17,0.82,1.99,1.06,1.89
2022,"Leicester City",26.5,52,38,418,3420,38,62,46,108,60,2,2,55,1,622,1356,1.63,1.21,2.84,1.58,2.79,47.8,46.2,34.2,80.4,1.26,0.9,2.16,1.22,2.12
2022,"Liverpool",27.7,62.7,38,418,3420,38,94,71,165,87,7,8,50,1,885,2243,2.47,1.87,4.34,2.29,4.16,88.7,82.7,63.5,146.2,2.33,1.67,4,2.18,3.85
2022,"Manchester City",27,67.9,38,418,3420,38,96,63,159,89,7,9,42,1,1145,2421,2.53,1.66,4.18,2.34,4,88.7,81.4,65.5,146.9,2.33,1.72,4.06,2.14,3.87
2022,"Manchester Utd",27.2,52.7,38,418,3420,38,56,46,102,53,3,5,77,2,784,1568,1.47,1.21,2.68,1.39,2.61,55.8,51.9,42.5,94.3,1.47,1.12,2.59,1.36,2.48
2022,"Newcastle Utd",27.5,40.4,38,418,3420,38,41,23,64,38,3,3,81,2,544,923,1.08,0.61,1.68,1,1.61,38.1,35.9,25.8,61.7,1,0.68,1.68,0.94,1.62
2022,"Norwich City",26.2,42.9,38,418,3420,38,21,16,37,18,3,3,57,1,566,1031,0.55,0.42,0.97,0.47,0.89,32.3,30,24.3,54.3,0.85,0.64,1.49,0.79,1.43
2022,"Southampton",25.7,47.7,38,418,3420,38,41,26,67,37,4,4,65,2,728,1326,1.08,0.68,1.76,0.97,1.66,44.8,41.6,32.5,74.1,1.18,0.85,2.03,1.1,1.95
2022,"Tottenham",26.5,51.8,38,418,3420,38,63,50,113,58,5,5,69,1,791,1459,1.66,1.32,2.97,1.53,2.84,61.2,57.3,47,104.4,1.61,1.24,2.85,1.51,2.75
2022,"Watford",28.4,40.7,38,418,3420,38,33,26,59,32,1,2,63,3,557,1070,0.87,0.68,1.55,0.84,1.53,40,38.4,32.5,70.9,1.05,0.86,1.91,1.01,1.87
2022,"West Ham",28.2,47.9,38,418,3420,38,58,46,104,54,4,6,52,3,646,1449,1.53,1.21,2.74,1.42,2.63,51.4,46.8,37.4,84.2,1.35,0.99,2.34,1.23,2.22
2022,"Wolves",27.3,49.5,38,418,3420,38,35,22,57,34,1,1,62,2,723,1283,0.92,0.58,1.5,0.89,1.47,37.5,36.8,26.4,63.2,0.99,0.69,1.68,0.97,1.66
2023,"Arsenal",24.7,59.3,38,418,3420,38,84,64,148,81,3,4,51,0,824,2049,2.21,1.68,3.89,2.13,3.82,71.9,69.1,53.8,122.9,1.89,1.41,3.31,1.82,3.23
2023,"Aston Villa",27,49.3,38,418,3420,38,49,35,84,46,3,4,80,1,637,1242,1.29,0.92,2.21,1.21,2.13,50.2,47.2,38.8,86,1.32,1.02,2.34,1.24,2.26
2023,"Bournemouth",26.3,40.4,38,418,3420,38,37,24,61,37,0,0,68,0,504,1006,0.97,0.63,1.61,0.97,1.61,38.6,38.6,28.5,67.1,1.02,0.75,1.76,1.02,1.76
2023,"Brentford",26.2,43.8,38,418,3420,38,56,36,92,49,7,8,57,1,392,1131,1.47,0.95,2.42,1.29,2.24,56.8,50.6,38.7,89.2,1.49,1.02,2.51,1.33,2.35
2023,"Brighton",26.3,60.2,38,418,3420,38,68,46,114,62,6,6,58,0,809,1849,1.79,1.21,3,1.63,2.84,73.3,68.9,52.2,121.2,1.93,1.37,3.3,1.81,3.19
2023,"Chelsea",26.3,58.7,38,418,3420,38,37,27,64,34,3,3,81,3,829,1737,0.97,0.71,1.68,0.89,1.61,49.5,47.2,38.6,85.8,1.3,1.02,2.32,1.24,2.26
2023,"Crystal Palace",26.7,46.3,38,418,3420,38,38,29,67,37,1,3,82,3,556,1243,1,0.76,1.76,0.97,1.74,39.3,36.8,29,65.8,1.03,0.76,1.8,0.97,1.73
2023,"Everton",26.6,42.8,38,418,3420,38,32,24,56,29,3,3,81,2,500,1052,0.84,0.63,1.47,0.76,1.39,45.2,42.8,32.4,75.1,1.19,0.85,2.04,1.13,1.98
2023,"Fulham",28.2,48.8,38,418,3420,38,52,33,85,47,5,9,80,1,662,1326,1.37,0.87,2.24,1.24,2.11,46.2,39.1,28.5,67.7,1.22,0.75,1.97,1.03,1.78
2023,"Leeds United",25.3,47,38,418,3420,38,45,31,76,44,1,3,89,3,555,1429,1.18,0.82,2,1.16,1.97,47.4,45,31.9,76.9,1.25,0.84,2.09,1.18,2.02
2023,"Leicester City",26.1,47.7,38,418,3420,38,49,36,85,46,3,6,63,2,580,1304,1.29,0.95,2.24,1.21,2.16,50.6,45.8,38.5,84.2,1.33,1.01,2.34,1.2,2.22
2023,"Liverpool",27.4,60.8,38,418,3420,38,71,58,129,69,2,4,57,1,719,1992,1.87,1.53,3.39,1.82,3.34,72.6,69.5,56.7,126.1,1.91,1.49,3.4,1.83,3.32
2023,"Manchester City",27.2,64.7,38,418,3420,38,92,69,161,83,9,10,44,1,987,2073,2.42,1.82,4.24,2.18,4,78.7,71.1,57.6,128.7,2.07,1.52,3.59,1.87,3.39
2023,"Manchester Utd",26.9,53.7,38,418,3420,38,56,42,98,53,3,3,78,2,711,1595,1.47,1.11,2.58,1.39,2.5,67.7,65.3,52.2,117.5,1.78,1.37,3.15,1.72,3.09
2023,"Newcastle Utd",27.3,52.3,38,418,3420,38,64,42,106,58,6,6,61,1,694,1618,1.68,1.11,2.79,1.53,2.63,72,67.4,51.9,119.3,1.89,1.37,3.26,1.77,3.14
2023,"Nott'ham Forest",26.5,37.6,38,418,3420,38,36,22,58,33,3,6,84,0,435,859,0.95,0.58,1.53,0.87,1.45,39.3,34.6,26.3,61,1.03,0.69,1.73,0.91,1.6
2023,"Southampton",24.7,44.5,38,418,3420,38,36,25,61,34,2,4,73,0,588,1125,0.95,0.66,1.61,0.89,1.55,37.7,34.5,28.2,62.7,0.99,0.74,1.73,0.91,1.65
2023,"Tottenham",27.6,50,38,418,3420,38,68,46,114,63,5,6,77,3,692,1449,1.79,1.21,3,1.66,2.87,57.1,52.4,43.1,95.5,1.5,1.13,2.64,1.38,2.51
2023,"West Ham",28.2,42.1,38,418,3420,38,41,25,66,35,6,8,44,0,614,1274,1.08,0.66,1.74,0.92,1.58,49.2,43.7,32.7,76.4,1.29,0.86,2.15,1.15,2.01
2023,"Wolves",26.7,49.9,38,418,3420,38,28,12,40,25,3,3,85,6,610,1343,0.74,0.32,1.05,0.66,0.97,36.8,34.5,25.4,59.9,0.97,0.67,1.64,0.91,1.58
2024,"Arsenal",25,58.2,38,418,3420,38,86,62,148,76,10,10,64,2,821,2106,2.26,1.63,3.89,2,3.63,76.1,68.5,55.3,123.8,2,1.46,3.46,1.8,3.26
2024,"Aston Villa",26.9,53.1,38,418,3420,38,72,55,127,68,4,4,94,2,775,1451,1.89,1.45,3.34,1.79,3.24,63.3,60.3,48.6,108.9,1.67,1.28,2.95,1.59,2.87
2024,"Bournemouth",25.7,44.4,38,418,3420,38,52,39,91,50,2,3,79,3,709,1314,1.37,1.03,2.39,1.32,2.34,55.9,53.6,40.5,94,1.47,1.06,2.54,1.41,2.47
2024,"Brentford",26.6,45.2,38,418,3420,38,54,38,92,51,3,3,89,2,505,1283,1.42,1,2.42,1.34,2.34,58.2,56,42.7,98.8,1.53,1.12,2.66,1.47,2.6
2024,"Brighton",25.9,59.8,38,418,3420,38,50,36,86,45,5,6,90,3,864,1780,1.32,0.95,2.26,1.18,2.13,56.8,52.2,41.6,93.8,1.49,1.09,2.59,1.37,2.47
2024,"Burnley",24.5,47.4,38,418,3420,38,40,30,70,37,3,3,77,7,727,1181,1.05,0.79,1.84,0.97,1.76,40.6,38.3,29.7,68,1.07,0.78,1.85,1.01,1.79
2024,"Chelsea",24.2,58.6,38,418,3420,38,76,51,127,65,11,12,109,4,873,1615,2,1.34,3.34,1.71,3.05,74.5,65.1,51.4,116.5,1.96,1.35,3.31,1.71,3.06
2024,"Crystal Palace",26.7,42.3,38,418,3420,38,56,43,99,52,4,4,73,2,506,1176,1.47,1.13,2.61,1.37,2.5,48.6,45.4,38.7,84.1,1.28,1.02,2.3,1.2,2.21
2024,"Everton",27.1,40.8,38,418,3420,38,40,17,57,38,2,3,82,1,495,1129,1.05,0.45,1.5,1,1.45,54,51.6,38.1,89.8,1.42,1,2.43,1.36,2.36
2024,"Fulham",28.4,50.6,38,418,3420,38,54,40,94,52,2,2,84,4,670,1467,1.42,1.05,2.47,1.37,2.42,50.8,49.2,37.6,86.8,1.34,0.99,2.33,1.3,2.29
2024,"Liverpool",26.3,61.3,38,418,3420,38,80,60,140,74,6,9,69,5,924,2110,2.11,1.58,3.68,1.95,3.53,87.8,80.4,63.7,144.1,2.31,1.68,3.98,2.12,3.79
2024,"Luton Town",26.7,42.4,38,418,3420,38,49,33,82,44,5,5,71,0,675,1113,1.29,0.87,2.16,1.16,2.03,42.4,38.6,29.5,68.2,1.12,0.78,1.89,1.02,1.79
2024,"Manchester City",26.6,65.2,38,418,3420,38,94,69,163,85,9,10,53,2,1127,2060,2.47,1.82,4.29,2.24,4.05,80.5,72.9,60.2,133.1,2.12,1.58,3.7,1.92,3.5
2024,"Manchester Utd",26.1,50.6,38,418,3420,38,57,36,93,51,6,7,83,1,759,1479,1.5,0.95,2.45,1.34,2.29,56.4,50.9,40.1,91,1.48,1.05,2.54,1.34,2.39
2024,"Newcastle Utd",27.2,52.2,38,418,3420,38,83,55,138,75,8,9,79,1,737,1557,2.18,1.45,3.63,1.97,3.42,76.2,69.2,51.4,120.6,2.01,1.35,3.36,1.82,3.17
2024,"Nott'ham Forest",25.7,40.6,38,418,3420,38,49,43,92,48,1,1,82,3,604,1140,1.29,1.13,2.42,1.26,2.39,49.9,49.1,38,87.1,1.31,1,2.31,1.29,2.29
2024,"Sheffield Utd",25.7,35.8,38,418,3420,38,31,18,49,26,5,5,101,5,343,884,0.82,0.47,1.29,0.68,1.16,38.3,34.4,25.8,60.2,1.01,0.68,1.69,0.91,1.58
2024,"Tottenham",25.2,61.6,38,418,3420,38,69,58,127,67,2,2,92,4,957,2107,1.82,1.53,3.34,1.76,3.29,68.2,66.7,57.4,124.1,1.79,1.51,3.31,1.75,3.27
2024,"West Ham",28.3,41.1,38,418,3420,38,58,40,98,54,4,5,82,3,556,1207,1.53,1.05,2.58,1.42,2.47,52.3,48.4,34.8,83.2,1.38,0.92,2.29,1.27,2.19
2024,"Wolves",26.6,48.9,38,418,3420,38,47,36,83,43,4,4,102,4,671,1180,1.24,0.95,2.18,1.13,2.08,46.7,43.6,31.8,75.4,1.23,0.84,2.07,1.15,1.98
