Player,Position,Nation,Age_2024,Value_2024_Euro,Base_Prediction_2024,Predicted_2025_Value_Euro,Growth_Factor,Growth_Percentage_2024_2025,Data_Source_Year
Erling Haaland,FW,NOR,24,180000000.0,226795904.0,261682557.13689604,1.1538240000000002,15.382400000000018,2024
Bukayo Saka,FW,ENG,23,150000000.0,202057232.0,233138483.65516803,1.1538240000000002,15.382400000000018,2024
Cole Palmer,MF,ENG,22,120000000.0,129778936.0,154670535.9248,1.1918,19.179999999999996,2024
Alexander Isak,FW,SWE,25,120000000.0,136557968.0,151936580.124288,1.112616,11.261600000000005,2024
Declan Rice,MF,ENG,25,120000000.0,130285136.0,142115026.3488,1.0908,9.079999999999998,2024
Phil Foden,"FW,MF",ENG,24,100000000.0,113248328.0,130668638.80627201,1.1538240000000002,15.382400000000018,2024
Rodri,MF,ESP,28,110000000.0,116687760.0,121390276.728,1.0403,4.03,2024
Moisés Caicedo,MF,ECU,23,90000000.0,90587512.0,102472593.57440002,1.1312000000000002,13.12000000000002,2024
William Saliba,DF,FRA,23,80000000.0,85045872.0,101014084.92672001,1.1877600000000001,18.776000000000014,2024
Martin Ødegaard,MF,NOR,26,85000000.0,92266776.0,100644599.2608,1.0908,9.079999999999998,2024
Alexis Mac Allister,MF,ARG,26,100000000.0,91525704.0,99836237.9232,1.0908,9.079999999999998,2024
Trent Alexander-Arnold,DF,ENG,26,75000000.0,83476528.0,95609006.57952,1.14534,14.534000000000002,2024
Dominik Szoboszlai,MF,HUN,24,80000000.0,81558664.0,92259160.71680002,1.1312000000000002,13.12000000000002,2024
Ryan Gravenberch,MF,NED,22,75000000.0,74506584.0,88796946.8112,1.1918,19.179999999999996,2024
Enzo Fernández,MF,ARG,23,75000000.0,74293160.0,84040422.59200002,1.1312000000000002,13.12000000000002,2024
Bruno Guimarães,MF,BRA,27,80000000.0,80615240.0,83864034.172,1.0403,4.03,2024
Cody Gakpo,"FW,MF",NED,25,70000000.0,73850664.0,82167430.37702401,1.112616,11.261600000000005,2024
Gabriel Magalhães,DF,BRA,27,75000000.0,72212608.0,78878914.90752001,1.0923150000000001,9.231500000000015,2024
Rúben Dias,DF,POR,27,65000000.0,71821536.0,78451741.09584,1.0923150000000001,9.231500000000015,2024
Luis Díaz,FW,COL,27,70000000.0,73455216.0,77943770.428896,1.0611059999999999,6.110599999999988,2024
Anthony Gordon,FW,ENG,23,65000000.0,66893340.0,77183141.13216001,1.1538240000000002,15.382400000000018,2024
Ibrahima Konaté,DF,FRA,25,60000000.0,64100312.0,73416651.34608,1.14534,14.534000000000002,2024
Kai Havertz,"MF,FW",GER,25,65000000.0,66642336.0,72693460.1088,1.0908,9.079999999999998,2024
Matheus Cunha,"FW,MF",BRA,25,60000000.0,64634116.0,71912951.607456,1.112616,11.261600000000005,2024
Ethan Nwaneri,FW,ENG,17,55000000.0,52465140.0,69568775.63999999,1.3259999999999998,32.59999999999999,2024
Murillo,DF,BRA,22,55000000.0,53610140.0,69079881.9984,1.28856,28.855999999999995,2024
Levi Colwill,DF,ENG,21,55000000.0,52190272.0,67250296.88832,1.28856,28.855999999999995,2024
Jurriën Timber,DF,NED,23,55000000.0,54636028.0,66822047.68512001,1.2230400000000001,22.304000000000013,2024
Sandro Tonali,MF,ITA,24,60000000.0,59065604.0,66815011.24480001,1.1312000000000002,13.12000000000002,2024
Bryan Mbeumo,FW,CMR,25,55000000.0,58269116.0,66756828.51302402,1.1456640000000002,14.566400000000023,2024
Morgan Rogers,"MF,FW",ENG,22,55000000.0,52756248.0,64742467.545600004,1.2272,22.720000000000006,2024
Gabriel Martinelli,FW,BRA,23,55000000.0,53842452.0,63970001.851392,1.188096,18.809600000000003,2024
Eberechi Eze,"MF,FW",ENG,26,55000000.0,56790704.0,63787318.732800014,1.1232000000000002,12.32000000000002,2024
Kobbie Mainoo,MF,ENG,19,50000000.0,48169060.0,62619778.0,1.3,30.000000000000004,2024
Pedro Neto,"FW,MF",POR,24,50000000.0,51673720.0,61393340.03712,1.188096,18.809600000000003,2024
Dejan Kulusevski,"FW,MF",SWE,24,50000000.0,51378296.0,61042347.964416005,1.188096,18.809600000000003,2024
Micky van de Ven,DF,NED,23,50000000.0,49173668.0,60141362.910720006,1.2230400000000001,22.304000000000013,2024
Morgan Gibbs-White,"MF,FW",ENG,24,50000000.0,51537592.0,60030987.1616,1.1648,16.480000000000004,2024
Nicolas Jackson,FW,SEN,23,50000000.0,49008684.0,58227021.425664,1.188096,18.809600000000003,2024
Amadou Onana,MF,BEL,23,50000000.0,49909376.0,58134441.1648,1.1648,16.480000000000004,2024
João Pedro,"FW,MF",BRA,23,50000000.0,48560932.0,57695049.065472,1.188096,18.809600000000003,2024
Milos Kerkez,DF,HUN,21,45000000.0,44651860.0,57536600.721599996,1.28856,28.855999999999995,2024
Adam Wharton,MF,ENG,20,45000000.0,43672780.0,56774614.0,1.3,30.000000000000004,2024
Jarrad Branthwaite,DF,ENG,22,50000000.0,44028492.0,56733353.65152,1.28856,28.855999999999995,2024
Marc Guéhi,DF,ENG,24,45000000.0,46380140.0,56724766.42560001,1.2230400000000001,22.304000000000013,2024
Marcus Rashford,FW,ENG,27,50000000.0,51875172.0,56680057.931328,1.092624,9.262400000000003,2024
Anthony Elanga,"FW,MF",SWE,22,42000000.0,44856304.0,56148609.394176,1.251744,25.1744,2024
Amad Diallo,"FW,MF",CIV,22,45000000.0,44139732.0,55251644.692608,1.251744,25.1744,2024
Scott McTominay,"MF,FW",SCO,28,50000000.0,51088072.0,54725542.72640001,1.0712000000000002,7.120000000000015,2024
Curtis Jones,MF,ENG,23,45000000.0,46694536.0,54389795.532800004,1.1648,16.480000000000004,2024
Mohammed Kudus,"FW,MF",GHA,24,45000000.0,44868624.0,53308232.699904,1.188096,18.809600000000003,2024
Cristian Romero,DF,ARG,26,50000000.0,45130576.0,53225196.111360006,1.1793600000000002,17.936000000000018,2024
Rico Lewis,"DF,MF",ENG,20,40000000.0,38513316.0,52570676.339999996,1.365,36.5,2024
Carlos Baleba,MF,CMR,20,40000000.0,40263648.0,52342742.4,1.3,30.000000000000004,2024
Ben White,DF,ENG,27,45000000.0,46475512.0,52273796.87712001,1.1247600000000002,12.47600000000002,2024
Sven Botman,DF,NED,24,42000000.0,42672576.0,52190267.351040006,1.2230400000000001,22.304000000000013,2024
Noni Madueke,FW,ENG,22,40000000.0,41422360.0,51850190.59584,1.251744,25.1744,2024
Bruno Fernandes,"MF,FW",POR,30,50000000.0,50231788.0,51196238.32960001,1.0192,1.9200000000000106,2024
Destiny Udogie,DF,ITA,22,40000000.0,39623544.0,51057313.856639996,1.28856,28.855999999999995,2024
Darwin Núñez,FW,URU,25,45000000.0,44167692.0,50601334.68748801,1.1456640000000002,14.566400000000023,2024
Mohamed Salah,FW,EGY,32,50000000.0,51298392.0,50063947.494912,0.975936,-2.4063999999999974,2024
Antoine Semenyo,FW,GHA,24,40000000.0,40629860.0,48272174.14656,1.188096,18.809600000000003,2024
Brennan Johnson,FW,WAL,23,40000000.0,40334904.0,47921738.102784,1.188096,18.809600000000003,2024
Alejandro Garnacho,FW,ARG,20,45000000.0,35918696.0,47628190.896,1.3259999999999998,32.59999999999999,2024
Andrey Santos,MF,BRA,20,35000000.0,36272224.0,47153891.2,1.3,30.000000000000004,2024
Roméo Lavia,MF,BEL,20,40000000.0,36147008.0,46991110.4,1.3,30.000000000000004,2024
Boubacar Kamara,MF,FRA,25,40000000.0,41523852.0,46639590.56640001,1.1232000000000002,12.32000000000002,2024
João Gomes,MF,BRA,23,40000000.0,39905076.0,46481432.5248,1.1648,16.480000000000004,2024
Dominic Solanke,FW,ENG,27,40000000.0,42381136.0,46306646.340864,1.092624,9.262400000000003,2024
Pedro Porro,DF,ESP,25,38000000.0,38682712.0,45620843.22432001,1.1793600000000002,17.936000000000018,2024
James Maddison,MF,ENG,28,42000000.0,42387116.0,45405078.659200005,1.0712000000000002,7.120000000000015,2024
Kaoru Mitoma,FW,JPN,27,40000000.0,41529792.0,45376447.454208,1.092624,9.262400000000003,2024
Jarrod Bowen,FW,ENG,28,40000000.0,41500096.0,45344000.891904004,1.092624,9.262400000000003,2024
Malo Gusto,DF,FRA,21,35000000.0,34709304.0,44725020.76224,1.28856,28.855999999999995,2024
Rasmus Højlund,FW,DEN,21,35000000.0,35359268.0,44260751.563392,1.251744,25.1744,2024
Lisandro Martínez,DF,ARG,26,40000000.0,37488708.0,44212682.666880004,1.1793600000000002,17.936000000000018,2024
Diogo Jota,FW,POR,28,40000000.0,40319828.0,44054411.748672,1.092624,9.262400000000003,2024
Jhon Durán,"FW,MF",COL,21,35000000.0,35084300.0,43916562.0192,1.251744,25.1744,2024
Marc Cucurella,DF,ESP,26,35000000.0,36256660.0,42759654.5376,1.1793600000000002,17.936000000000018,2024
David Raya,GK,ESP,29,40000000.0,41921668.0,42726564.0256,1.0192,1.9200000000000106,2024
Ollie Watkins,FW,ENG,29,40000000.0,40634276.0,42242743.181184,1.039584,3.9584000000000064,2024
Youri Tielemans,"MF,FW",BEL,27,38000000.0,39278092.0,42074692.150400005,1.0712000000000002,7.120000000000015,2024
Elliot Anderson,"MF,FW",SCO,22,32000000.0,34044520.0,41779434.944000006,1.2272,22.720000000000006,2024
Antony,FW,BRA,24,35000000.0,34812732.0,41360867.638272,1.188096,18.809600000000003,2024
Lewis Hall,DF,ENG,20,32000000.0,30207890.0,41233769.85,1.365,36.5,2024
Jan Paul van Hecke,DF,NED,24,32000000.0,32904004.0,40242913.05216,1.2230400000000001,22.304000000000013,2024
Antonee Robinson,DF,USA,27,35000000.0,35721524.0,40178141.334240004,1.1247600000000002,12.47600000000002,2024
Ezri Konsa,DF,ENG,27,35000000.0,35517232.0,39948361.86432001,1.1247600000000002,12.47600000000002,2024
Harvey Barnes,"FW,MF",ENG,27,35000000.0,35639652.0,38940739.126848005,1.092624,9.262400000000003,2024
Christopher Nkunku,"FW,MF",FRA,27,35000000.0,35062492.0,38310120.259008,1.092624,9.262400000000003,2024
Joelinton,"MF,FW",BRA,28,35000000.0,35628912.0,38165690.53440001,1.0712000000000002,7.120000000000015,2024
Matheus Nunes,MF,POR,26,35000000.0,33830136.0,37998008.755200006,1.1232000000000002,12.32000000000002,2024
Justin Kluivert,"MF,FW",NED,25,35000000.0,33772500.0,37933272.00000001,1.1232000000000002,12.32000000000002,2024
Bernardo Silva,"MF,FW",POR,30,38000000.0,37107968.0,37820440.9856,1.0192,1.9200000000000106,2024
Jacob Ramsey,"FW,MF",ENG,23,32000000.0,31654156.0,37608176.126976,1.188096,18.809600000000003,2024
Conor Bradley,DF,NIR,21,30000000.0,29139268.0,37547695.17408,1.28856,28.855999999999995,2024
Pape Matar Sarr,MF,SEN,22,32000000.0,30560298.0,37503597.7056,1.2272,22.720000000000006,2024
Dango Ouattara,"FW,DF",BFA,22,28000000.0,28291432.0,36775692.959616005,1.2998880000000002,29.988800000000015,2024
Diogo Dalot,DF,POR,25,30000000.0,30636286.0,36131210.256960005,1.1793600000000002,17.936000000000018,2024
Kevin Schade,"FW,MF",GER,23,30000000.0,30169656.0,35844447.614976004,1.188096,18.809600000000003,2024
Jakub Kiwior,DF,POL,24,28000000.0,28164476.0,35771137.67808001,1.2700800000000003,27.00800000000003,2024
Emile Smith Rowe,MF,ENG,24,30000000.0,30654640.0,35706524.672,1.1648,16.480000000000004,2024
Bart Verbruggen,GK,NED,22,30000000.0,29067716.0,35671901.0752,1.2272,22.720000000000006,2024
Yoane Wissa,FW,COD,28,32000000.0,32635428.0,35658251.883072,1.092624,9.262400000000003,2024
Pervis Estupiñán,DF,ECU,26,30000000.0,30091384.0,35488574.63424001,1.1793600000000002,17.936000000000018,2024
Simon Adingra,FW,CIV,22,28000000.0,27299508.0,35486302.85510401,1.2998880000000002,29.988800000000015,2024
Reece James,DF,ENG,25,30000000.0,30039486.0,35427368.208960004,1.1793600000000002,17.936000000000018,2024
Pau Torres,DF,ESP,27,32000000.0,31413452.0,35332594.27152,1.1247600000000002,12.47600000000002,2024
Harvey Elliott,"MF,FW",ENG,21,30000000.0,28778754.0,35317286.9088,1.2272,22.720000000000006,2024
Nathan Collins,DF,IRL,23,28000000.0,27657736.0,35127537.33888001,1.2700800000000003,27.00800000000003,2024
Ian Maatsen,"FW,MF",NED,22,28000000.0,26878832.0,34939471.170816004,1.2998880000000002,29.988800000000015,2024
Vitaliy Mykolenko,DF,UKR,25,28000000.0,28311892.0,34674140.37024001,1.2247200000000003,22.472000000000026,2024
Jadon Sancho,"FW,MF",ENG,24,28000000.0,27905990.0,34430187.214080006,1.2337920000000002,23.379200000000022,2024
Gabriel Jesus,FW,BRA,27,32000000.0,31037706.0,33912542.480544,1.092624,9.262400000000003,2024
Evan Ferguson,FW,IRL,20,25000000.0,24624836.0,33908399.172,1.377,37.7,2024
Mikkel Damsgaard,MF,DEN,24,28000000.0,27795816.0,33621819.03360001,1.2096000000000002,20.960000000000022,2024
Guglielmo Vicario,GK,ITA,28,32000000.0,31222602.0,33445651.262400005,1.0712000000000002,7.120000000000015,2024
Jean-Philippe Mateta,FW,FRA,27,30000000.0,30592550.0,33426154.3512,1.092624,9.262400000000003,2024
Rayan Aït-Nouri,"DF,MF",ALG,23,35000000.0,27209940.0,33278845.017600004,1.2230400000000001,22.304000000000013,2024
Danilo,MF,BRA,23,28000000.0,27472248.0,33230431.180800006,1.2096000000000002,20.960000000000022,2024
Jack Hinshelwood,DF,ENG,19,24000000.0,22905158.0,32468061.465,1.4175,41.75,2024
Lucas Paquetá,"FW,MF",BRA,27,28000000.0,28571904.0,32419053.729792003,1.134648,13.464800000000011,2024
Radu Drăgușin,DF,ROU,22,25000000.0,23738048.0,31764356.78976,1.33812,33.812,2024
Mason Mount,"MF,FW",ENG,25,28000000.0,27175398.0,31697384.2272,1.1664,16.64000000000001,2024
Oscar Bobb,"FW,MF",NOR,21,25000000.0,23890028.0,31054360.716864005,1.2998880000000002,29.988800000000015,2024
Joachim Andersen,DF,DEN,28,27000000.0,26479078.0,30928092.685560007,1.1680200000000003,16.802000000000028,2024
Callum Hudson-Odoi,"FW,MF",ENG,24,25000000.0,24889980.0,30709058.204160005,1.2337920000000002,23.379200000000022,2024
Alex Iwobi,"FW,MF",NGA,28,28000000.0,26861714.0,30478590.066672,1.134648,13.464800000000011,2024
Manuel Akanji,"DF,MF",SUI,29,28000000.0,27212742.0,30242064.43944,1.11132,11.132000000000009,2024
Trevoh Chalobah,DF,ENG,25,25000000.0,24623708.0,30157147.661760006,1.2247200000000003,22.472000000000026,2024
Julio Enciso,"MF,FW",PAR,20,22000000.0,22233324.0,30014987.400000002,1.35,35.00000000000001,2024
Tyrick Mitchell,"DF,MF",ENG,25,25000000.0,24433530.0,29924232.861600008,1.2247200000000003,22.472000000000026,2024
Cheick Doucouré,MF,MLI,24,25000000.0,24729940.0,29913335.424000006,1.2096000000000002,20.960000000000022,2024
Rodrigo Bentancur,MF,URU,27,30000000.0,27921004.0,29908979.484800003,1.0712000000000002,7.120000000000015,2024
Leon Bailey,"MF,FW",JAM,27,28000000.0,26791870.0,29803276.188,1.1124,11.240000000000006,2024
Dwight McNeil,"MF,FW",ENG,25,25000000.0,24975532.0,29131460.524800003,1.1664,16.64000000000001,2024
Keane Lewis-Potter,"FW,DF",ENG,23,23000000.0,23565584.0,29075029.014528006,1.2337920000000002,23.379200000000022,2024
Calvin Bassey,DF,NGA,25,25000000.0,23673074.0,28992887.189280007,1.2247200000000003,22.472000000000026,2024
Jack Grealish,"FW,MF",ENG,29,28000000.0,26811654.0,28945003.685472,1.079568,7.956800000000008,2024
Matty Cash,DF,POL,27,25000000.0,24202498.0,28269001.713960007,1.1680200000000003,16.802000000000028,2024
Sander Berge,MF,NOR,26,25000000.0,24163660.0,28184493.024000004,1.1664,16.64000000000001,2024
Benoît Badiashile,DF,FRA,23,22000000.0,21895350.0,27808846.128000006,1.2700800000000003,27.00800000000003,2024
Daniel Muñoz,"DF,MF",COL,28,25000000.0,23717228.0,27702196.648560006,1.1680200000000003,16.802000000000028,2024
Aaron Wan-Bissaka,DF,ENG,27,24000000.0,23623638.0,27592881.656760007,1.1680200000000003,16.802000000000028,2024
Lewis Miley,MF,ENG,18,22000000.0,20254948.0,27344179.8,1.35,35.00000000000001,2024
Mikey Moore,MF,ENG,17,18000000.0,20183796.0,27248124.6,1.35,35.00000000000001,2024
Yves Bissouma,MF,MLI,28,25000000.0,24349370.0,27086239.188,1.1124,11.240000000000006,2024
Nathan Aké,DF,NED,29,25000000.0,24236452.0,26934453.83664,1.11132,11.132000000000009,2024
Wilson Odobert,"MF,FW",FRA,20,20000000.0,19847050.0,26793517.5,1.35,35.00000000000001,2024
Neco Williams,DF,WAL,23,20000000.0,20899664.0,26544245.253120005,1.2700800000000003,27.00800000000003,2024
Jarell Quansah,DF,ENG,21,20000000.0,19772578.0,26458082.07336,1.33812,33.812,2024
Axel Disasi,DF,FRA,26,22000000.0,21548084.0,26390369.436480004,1.2247200000000003,22.472000000000026,2024
John Stones,"DF,MF",ENG,30,25000000.0,23519064.0,26137206.204480004,1.11132,11.132000000000009,2024
Edson Álvarez,MF,MEX,27,25000000.0,23476262.0,26114993.8488,1.1124,11.240000000000006,2024
André Onana,GK,CMR,28,25000000.0,23461758.0,26098859.599200003,1.1124,11.240000000000006,2024
Joe Willock,MF,ENG,25,22000000.0,21878652.0,25519259.692800004,1.1664,16.64000000000001,2024
Carney Chukwuemeka,"MF,FW",ENG,21,18000000.0,19797370.0,25229768.327999998,1.2744,27.439999999999998,2024
Ibrahim Sangaré,MF,CIV,27,24000000.0,22511842.0,25042173.0408,1.1124,11.240000000000006,2024
Alex Scott,MF,ENG,21,20000000.0,19409048.0,24734890.7712,1.2744,27.439999999999998,2024
Billy Gilmour,MF,SCO,23,20000000.0,20446232.0,24731762.227200005,1.2096000000000002,20.960000000000022,2024
Facundo Buonanotte,"FW,MF",ARG,20,20000000.0,17893828.0,24639801.156,1.377,37.7,2024
Beto,FW,GNB,26,22000000.0,20663228.0,24583620.921984002,1.1897280000000001,18.972800000000014,2024
Lesley Ugochukwu,MF,FRA,20,18000000.0,18168196.0,24527064.6,1.35,35.00000000000001,2024
Ola Aina,DF,NGA,28,22000000.0,20817470.0,24315221.309400007,1.1680200000000003,16.802000000000028,2024
Oleksandr Zinchenko,DF,UKR,28,20000000.0,20715200.0,24195767.904000007,1.1680200000000003,16.802000000000028,2024
Marcos Senesi,DF,ARG,27,22000000.0,20667092.0,24139576.797840007,1.1680200000000003,16.802000000000028,2024
Rodrigo Muniz,FW,BRA,23,20000000.0,19497802.0,24056232.125184003,1.2337920000000002,23.379200000000022,2024
Leandro Trossard,"FW,MF",BEL,30,22000000.0,21723344.0,23451827.035392,1.079568,7.956800000000008,2024
Tosin Adarabioyo,DF,ENG,27,20000000.0,20019544.0,23383227.782880004,1.1680200000000003,16.802000000000028,2024
Caoimhín Kelleher,GK,IRL,26,20000000.0,19905660.0,23217961.824,1.1664,16.64000000000001,2024
Joe Gomez,DF,ENG,27,20000000.0,19875500.0,23214981.510000005,1.1680200000000003,16.802000000000028,2024
Vitaly Janelt,"MF,DF",GER,26,20000000.0,19883158.0,23191715.491200004,1.1664,16.64000000000001,2024
Richarlison,FW,BRA,27,20000000.0,19891162.0,22569467.180976003,1.134648,13.464800000000011,2024
Marcus Tavernier,FW,ENG,25,18000000.0,18795290.0,22361282.781120002,1.1897280000000001,18.972800000000014,2024
Robert Sánchez,GK,ESP,27,20000000.0,20039678.0,22292137.8072,1.1124,11.240000000000006,2024
James Garner,MF,ENG,23,18000000.0,18362244.0,22210970.342400003,1.2096000000000002,20.960000000000022,2024
Sean Longstaff,MF,ENG,27,20000000.0,19946440.0,22188419.856000002,1.1124,11.240000000000006,2024
